,Ticker,Parametro Utilizado,Resultado 12 meses,Resultado 3 meses,Total de operações,Operações vencedoras,Operações perdedoras,Operações vencedoras(%),Operações Perdedoras(%),Maior DD da operação,Maior ganho da operação,Lucro Médio
2023-01-18,AESB3.SA,-1.9,4.18,1.75,18,10,8,55.56,44.44,-3.74,2.35,0.02
2023-01-18,AESB3.SA,-2.0,6.77,3.7,18,11,7,61.11,38.89,-3.64,2.45,0.04
2023-01-18,AESB3.SA,-2.1,2.05,1.85,14,7,7,50.0,50.0,-3.55,2.56,0.02
2023-01-18,AESB3.SA,-2.2,-2.53,-1.4,11,4,7,36.36,63.64,-3.45,2.39,-0.02
2023-01-18,AESB3.SA,-2.3,-0.84,-0.99,8,3,5,37.5,62.5,-3.36,2.49,-0.01
2023-01-18,AESB3.SA,-2.4,-1.23,-3.28,5,2,3,40.0,60.0,-3.26,0.71,-0.04
2023-01-18,AESB3.SA,-2.5,-1.3,-2.66,6,3,3,50.0,50.0,-3.16,0.81,-0.03
2023-01-18,AESB3.SA,-2.6,0.43,-2.06,6,3,3,50.0,50.0,-3.07,0.92,-0.02
2023-01-18,AESB3.SA,-2.7,-0.99,-1.76,4,2,2,50.0,50.0,-2.97,1.02,-0.02
2023-01-18,AESB3.SA,-2.8,0.02,-1.87,4,2,2,50.0,50.0,-2.88,1.02,-0.02
2023-01-18,AESB3.SA,-2.9,0.19,-2.58,2,1,1,50.0,50.0,-2.78,0.2,-0.03
2023-01-18,AESB3.SA,-3.0,0.99,-2.38,2,1,1,50.0,50.0,-2.68,0.3,-0.03
2023-01-18,AESB3.SA,-3.1,1.32,-2.19,2,1,1,50.0,50.0,-2.59,0.4,-0.02
2023-01-18,AESB3.SA,-3.2,0.89,-1.99,2,1,1,50.0,50.0,-2.49,0.5,-0.02
2023-01-18,AESB3.SA,-3.3,-0.64,-2.4,1,0,1,0.0,100.0,-2.4,0.0,-0.03
2023-01-18,AESB3.SA,-3.4,-2.08,-2.3,1,0,1,0.0,100.0,-2.3,0.0,-0.03
2023-01-18,AESB3.SA,-3.5,-2.31,-2.11,1,0,1,0.0,100.0,-2.11,0.0,-0.02
2023-01-18,AESB3.SA,-3.6,-1.96,-2.01,1,0,1,0.0,100.0,-2.01,0.0,-0.02
2023-01-18,AESB3.SA,-3.7,-1.51,-1.92,1,0,1,0.0,100.0,-1.92,0.0,-0.02
2023-01-18,AESB3.SA,-3.8,-1.15,-1.82,1,0,1,0.0,100.0,-1.82,0.0,-0.02
2023-01-18,AESB3.SA,-3.9,-2.06,-1.73,1,0,1,0.0,100.0,-1.73,0.0,-0.02
2023-01-18,AESB3.SA,-4.0,-1.77,-1.63,1,0,1,0.0,100.0,-1.63,0.0,-0.02
2023-01-18,AGRO3.SA,-0.5,-24.68,-5.75,64,33,31,51.56,48.44,-5.5,5.59,-0.06
2023-01-18,AGRO3.SA,-0.6,-17.27,-7.84,60,31,29,51.67,48.33,-5.39,5.7,-0.09
2023-01-18,AGRO3.SA,-0.7,-16.22,-7.89,56,32,24,57.14,42.86,-5.29,5.8,-0.09
2023-01-18,AGRO3.SA,-0.8,-8.32,-2.15,58,34,24,58.62,41.38,-5.18,5.91,-0.02
2023-01-18,AGRO3.SA,-0.9,6.9,3.81,58,34,24,58.62,41.38,-5.08,6.01,0.04
2023-01-18,AGRO3.SA,-1.0,11.17,6.97,56,33,23,58.93,41.07,-4.98,6.12,0.08
2023-01-18,AGRO3.SA,-1.1,10.77,9.02,53,30,23,56.6,43.4,-4.87,6.19,0.1
2023-01-18,AGRO3.SA,-1.2,11.51,7.17,48,26,22,54.17,45.83,-4.77,6.29,0.08
2023-01-18,AGRO3.SA,-1.3,11.57,4.69,46,27,19,58.7,41.3,-4.67,3.64,0.05
2023-01-18,AGRO3.SA,-1.4,13.82,8.19,46,27,19,58.7,41.3,-4.56,3.75,0.09
2023-01-18,AGRO3.SA,-1.5,18.78,10.12,44,25,19,56.82,43.18,-4.49,3.86,0.11
2023-01-18,AGRO3.SA,-1.6,23.27,11.24,41,24,17,58.54,41.46,-4.39,3.94,0.12
